,timestamp,tag,description,condition
133,2022-01-01 00:02:13,FI106,E-106 REBOILER INLET FLOW,FAULT
336,2022-01-01 00:05:36,TIC102,T-101 DISTILLATION COLUMN TEMPERATURE CONTROLLER,FAULT
646,2022-01-01 00:10:46,FI110,TOLUENE PRODUCT FLOW,LOW
778,2022-01-01 00:12:58,HS102A,P-102A MOTOR FAULT,FAULT
971,2022-01-01 00:16:11,FI106,E-106 REBOILER INLET FLOW,LOW
1452,2022-01-01 00:24:12,TI107,E-106 REBOILER OUTLET TEMPERATURE,HIGH
2322,2022-01-01 00:38:42,TI104,T-101 DISTILLATION COLUMN TEMPERATURE 4,FAULT
2633,2022-01-01 00:43:53,FI106,E-106 REBOILER INLET FLOW,FAULT RECOVERED
3106,2022-01-01 00:51:46,TIC102,T-101 DISTILLATION COLUMN TEMPERATURE CONTROLLER,FAULT RECOVERED
3266,2022-01-01 00:54:26,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,LOW
3331,2022-01-01 00:55:31,LI101,T-101 DISTILLATION COLUMN LEVEL,HIGH HIGH
3383,2022-01-01 00:56:23,LI101,T-101 DISTILLATION COLUMN LEVEL,HIGH HIGH
3597,2022-01-01 00:59:57,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,LOW RECOVERED
3626,2022-01-01 01:00:26,TI104,T-101 DISTILLATION COLUMN TEMPERATURE 4,FAULT RECOVERED
3993,2022-01-01 01:06:33,TI107,E-106 REBOILER OUTLET TEMPERATURE,HIGH RECOVERED
4328,2022-01-01 01:12:08,HS102A,P-102A MOTOR FAULT,FAULT RECOVERED
4520,2022-01-01 01:15:20,FI110,TOLUENE PRODUCT FLOW,LOW RECOVERED
4592,2022-01-01 01:16:32,LI101,T-101 DISTILLATION COLUMN LEVEL,HIGH HIGH RECOVERED
4813,2022-01-01 01:20:13,TIC102,T-101 DISTILLATION COLUMN TEMPERATURE CONTROLLER,HIGH HIGH
4990,2022-01-01 01:23:10,TI102,T-101 DISTILLATION COLUMN TEMPERATURE 2,LOW
6190,2022-01-01 01:43:10,FI106,E-106 REBOILER INLET FLOW,LOW RECOVERED
6299,2022-01-01 01:44:59,TI102,T-101 DISTILLATION COLUMN TEMPERATURE 2,HIGH HIGH
8374,2022-01-01 02:19:34,LI104,V-104 DISTILLATE VESSEL LEVEL,HIGH HIGH
8794,2022-01-01 02:26:34,TIC102,T-101 DISTILLATION COLUMN TEMPERATURE CONTROLLER,HIGH HIGH RECOVERED
8833,2022-01-01 02:27:13,FI104,E-104 CONDENSER COOLING WATER INLET FLOW,HIGH
8950,2022-01-01 02:29:10,FI105,BENZENE PRODUCT FLOW,HIGH RECOVERED
9130,2022-01-01 02:32:10,FI105,BENZENE PRODUCT FLOW,HIGH
9486,2022-01-01 02:38:06,PI101,T-101 DISTILLATION COLUMN PRESSURE,LOW LOW
10056,2022-01-01 02:47:36,LI101,T-101 DISTILLATION COLUMN LEVEL,HIGH HIGH RECOVERED
10091,2022-01-01 02:48:11,PI101,T-101 DISTILLATION COLUMN PRESSURE,LOW LOW RECOVERED
10826,2022-01-01 03:00:26,TI102,T-101 DISTILLATION COLUMN TEMPERATURE 2,LOW RECOVERED
11742,2022-01-01 03:15:42,LIC101,T-101 DISTILLATION COLUMN LEVEL CONTROLLER,LOW
