index,timestamp,tag,description,condition
0,2026-01-01 00:00:30.000,FI106,E-106 REBOILER INLET FLOW,HIGH
1,2026-01-01 00:00:30.000,FI106,E-106 REBOILER INLET FLOW,FAULT
2,2026-01-01 00:01:00.000,FI106,E-106 REBOILER INLET FLOW,FAULT RECOVERED
3,2026-01-01 00:01:30.000,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,LOW
4,2026-01-01 00:01:30.000,FI106,E-106 REBOILER INLET FLOW,HIGH RECOVERED
5,2026-01-01 00:02:00.000,LI101,T-101 DISTILLATION COLUMN LEVEL,HIGH
6,2026-01-01 00:03:00.000,LI101,T-101 DISTILLATION COLUMN LEVEL,LOW
7,2026-01-01 00:04:30.000,TI107,E-106 REBOILER OUTLET TEMPERATURE,LOW
8,2026-01-01 00:05:16.000,LI101,T-101 DISTILLATION COLUMN LEVEL,LOW LOW
9,2026-01-01 00:06:30.000,FI110,TOLUENE PRODUCT FLOW,LOW
10,2026-01-01 00:07:00.000,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,LOW RECOVERED
11,2026-01-01 00:07:30.000,FI106,E-106 REBOILER INLET FLOW,LOW
12,2026-01-01 00:08:00.000,FI106,E-106 REBOILER INLET FLOW,LOW RECOVERED
13,2026-01-01 00:09:00.000,FI106,E-106 REBOILER INLET FLOW,FAULT
14,2026-01-01 00:09:00.000,FI110,TOLUENE PRODUCT FLOW,LOW RECOVERED
15,2026-01-01 00:09:30.000,TIC102,T-101 DISTILLATION COLUMN TEMPERATURE CONTROLLER,DEVIATION HIGH
16,2026-01-01 00:10:30.000,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,LOW
17,2026-01-01 00:11:00.000,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,FAULT
18,2026-01-01 00:11:00.000,FI106,E-106 REBOILER INLET FLOW,FAULT RECOVERED
19,2026-01-01 00:13:00.000,FI106,E-106 REBOILER INLET FLOW,HIGH
20,2026-01-01 00:13:00.000,FI106,E-106 REBOILER INLET FLOW,LOW
21,2026-01-01 00:13:00.000,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,FAULT RECOVERED
22,2026-01-01 00:14:30.000,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,FAULT
23,2026-01-01 00:15:00.000,FI110,TOLUENE PRODUCT FLOW,HIGH
24,2026-01-01 00:16:30.000,PI101,T-101 DISTILLATION COLUMN PRESSURE,LOW
25,2026-01-01 00:16:30.000,FI106,E-106 REBOILER INLET FLOW,LOW RECOVERED
26,2026-01-01 00:16:30.000,FI106,E-106 REBOILER INLET FLOW,HIGH RECOVERED
27,2026-01-01 00:17:00.000,FI106,E-106 REBOILER INLET FLOW,LOW
28,2026-01-01 00:17:34.000,FI106,E-106 REBOILER INLET FLOW,LOW LOW
29,2026-01-01 00:18:30.000,FI106,E-106 REBOILER INLET FLOW,LOW LOW RECOVERED
30,2026-01-01 00:18:30.000,FI106,E-106 REBOILER INLET FLOW,LOW RECOVERED
31,2026-01-01 00:19:00.000,TI104,T-101 DISTILLATION COLUMN TEMPERATURE 4,LOW
32,2026-01-01 00:19:30.000,FI100,COLUMN FEED FLOW,HIGH
33,2026-01-01 00:20:00.000,FI106,E-106 REBOILER INLET FLOW,HIGH
34,2026-01-01 00:20:30.000,TI104,T-101 DISTILLATION COLUMN TEMPERATURE 4,LOW RECOVERED
35,2026-01-01 00:20:30.000,FI106,E-106 REBOILER INLET FLOW,HIGH RECOVERED
36,2026-01-01 00:21:00.000,PI101,T-101 DISTILLATION COLUMN PRESSURE,HIGH
37,2026-01-01 00:22:00.000,FI106,E-106 REBOILER INLET FLOW,HIGH
38,2026-01-01 00:22:00.000,FI100,COLUMN FEED FLOW,HIGH RECOVERED
39,2026-01-01 00:22:30.000,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,FAULT RECOVERED
40,2026-01-01 00:22:30.000,FI106,E-106 REBOILER INLET FLOW,HIGH RECOVERED
41,2026-01-01 00:23:00.000,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,FAULT
42,2026-01-01 00:23:00.000,FI106,E-106 REBOILER INLET FLOW,FAULT
43,2026-01-01 00:23:00.000,PI101,T-101 DISTILLATION COLUMN PRESSURE,HIGH RECOVERED
44,2026-01-01 00:23:30.000,FI100,COLUMN FEED FLOW,HIGH
45,2026-01-01 00:24:00.000,FI101,T-101 REFLUX FLOW,LOW
46,2026-01-01 00:24:00.000,FI106,E-106 REBOILER INLET FLOW,LOW
47,2026-01-01 00:24:30.000,FI106,E-106 REBOILER INLET FLOW,FAULT RECOVERED
48,2026-01-01 00:24:30.000,FI100,COLUMN FEED FLOW,HIGH RECOVERED
49,2026-01-01 00:25:22.000,FI101,T-101 REFLUX FLOW,LOW LOW
50,2026-01-01 00:25:30.000,FI106,E-106 REBOILER INLET FLOW,LOW RECOVERED
51,2026-01-01 00:27:30.000,FI107,E-107 COOLING WATER FLOW,FAULT
52,2026-01-01 00:30:00.000,FI106,E-106 REBOILER INLET FLOW,LOW
53,2026-01-01 00:30:00.000,FI107,E-107 COOLING WATER FLOW,FAULT RECOVERED
54,2026-01-01 00:30:30.000,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,LOW RECOVERED
55,2026-01-01 00:30:30.000,FI106,E-106 REBOILER INLET FLOW,LOW RECOVERED
56,2026-01-01 00:31:00.000,FI106,E-106 REBOILER INLET FLOW,FAULT
57,2026-01-01 00:32:00.000,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,FAULT RECOVERED
58,2026-01-01 00:33:00.000,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,FAULT
