,time,alarm_text
0,2024-05-01 00:04:25,PT-3003: Pump P-103 Discharge Pressure - High-High
1,2024-05-01 00:07:16,FT-1717: Vessel V-117 Flow Rate - Low-Low
2,2024-05-01 00:07:32,FT-2121: Vessel V-121 Flow Rate - Low
3,2024-05-01 00:07:32,LT-1919: Vessel V-119 Liquid Level - Low
4,2024-05-01 00:07:32,FT-3737: Vessel V-137 Flow Rate - High-High
5,2024-05-01 00:08:36,LT-2002: Compressor C-102 Liquid Level - Low
6,2024-05-01 00:12:24,FT-3333: Vessel V-133 Flow Rate - High
7,2024-05-01 00:12:25,FT-1717: Vessel V-117 Flow Rate - Low-Low
8,2024-05-01 00:17:23,LT-3535: Vessel V-135 Liquid Level - High
9,2024-05-01 00:19:10,TT-1212: Heat Exchanger E-112 Inlet Temperature - Low
10,2024-05-01 00:19:10,TT-2828: Heat Exchanger E-128 Inlet Temperature - Low
11,2024-05-01 00:19:10,TT-4004: Heat Exchanger E-104 Outlet Temperature - High
12,2024-05-01 00:21:19,PT-3434: Compressor C-134 Discharge Pressure - Low-Low
13,2024-05-01 00:22:19,PT-3434: Compressor C-134 Discharge Pressure - Low-Low
14,2024-05-01 00:22:45,LT-2002: Compressor C-102 Liquid Level - Low
15,2024-05-01 00:24:49,TT-4444: Pump P-144 Inlet Temperature - High
16,2024-05-01 00:24:49,TT-1616: Pump P-116 Outlet Temperature - Low
17,2024-05-01 00:24:49,TT-4848: Pump P-148 Outlet Temperature - Low
18,2024-05-01 00:24:50,PT-3003: Pump P-103 Discharge Pressure - High-High
19,2024-05-01 00:25:08,PT-4646: Compressor C-146 Suction Pressure - High
20,2024-05-01 00:27:48,TT-2424: Pump P-124 Outlet Temperature - High
21,2024-05-01 00:32:31,TT-1212: Heat Exchanger E-112 Inlet Temperature - Low
22,2024-05-01 00:32:31,TT-2828: Heat Exchanger E-128 Inlet Temperature - Low
23,2024-05-01 00:32:31,TT-4004: Heat Exchanger E-104 Outlet Temperature - High
24,2024-05-01 00:32:32,PT-6006: Compressor C-106 Suction Pressure - Low
25,2024-05-01 00:32:33,FT-9009: Vessel V-109 Flow Rate - High
26,2024-05-01 00:36:39,FT-1717: Vessel V-117 Flow Rate - Low-Low
27,2024-05-01 00:39:04,TT-1212: Heat Exchanger E-112 Inlet Temperature - Low
28,2024-05-01 00:39:04,TT-2828: Heat Exchanger E-128 Inlet Temperature - Low
29,2024-05-01 00:39:04,TT-4004: Heat Exchanger E-104 Outlet Temperature - High
30,2024-05-01 00:39:49,PT-3434: Compressor C-134 Discharge Pressure - Low-Low
31,2024-05-01 00:41:53,PT-2626: Compressor C-126 Discharge Pressure - Low
32,2024-05-01 00:46:15,FT-1717: Vessel V-117 Flow Rate - Low-Low
33,2024-05-01 00:50:21,TT-2424: Pump P-124 Outlet Temperature - High
34,2024-05-01 00:53:28,LT-3131: Vessel V-131 Liquid Level - High-High
35,2024-05-01 00:57:30,LT-3535: Vessel V-135 Liquid Level - High
36,2024-05-01 01:00:07,LT-2323: Vessel V-123 Liquid Level - Low-Low
37,2024-05-01 01:04:27,FT-1313: Vessel V-113 Flow Rate - High-High
38,2024-05-01 01:06:45,FT-4949: Vessel V-149 Flow Rate - High
39,2024-05-01 01:09:44,PT-4646: Compressor C-146 Suction Pressure - High
40,2024-05-01 01:11:09,LT-7007: Vessel V-107 Liquid Level - High-High
41,2024-05-01 01:11:09,FV-1001: Vessel V-101 Pressure - High
42,2024-05-01 01:11:09,LT-3939: Vessel V-139 Liquid Level - Low-Low
43,2024-05-01 01:14:30,PT-1818: Compressor C-118 Discharge Pressure - High
44,2024-05-01 01:18:24,TT-3232: Pump P-132 Outlet Temperature - Low
45,2024-05-01 01:23:23,FT-2929: Vessel V-129 Flow Rate - Low-Low
46,2024-05-01 01:27:07,TT-4444: Pump P-144 Inlet Temperature - High
47,2024-05-01 01:27:07,TT-1616: Pump P-116 Outlet Temperature - Low
48,2024-05-01 01:27:07,TT-4848: Pump P-148 Outlet Temperature - Low
49,2024-05-01 01:31:23,TT-3232: Pump P-132 Outlet Temperature - Low
50,2024-05-01 01:35:20,PT-3838: Compressor C-138 Suction Pressure - Low
51,2024-05-01 01:37:29,PT-1010: Compressor C-110 Discharge Pressure - Low-Low
52,2024-05-01 01:42:04,FT-4545: Vessel V-145 Flow Rate - Low-Low
53,2024-05-01 01:45:00,TT-4004: Heat Exchanger E-104 Outlet Temperature - High
54,2024-05-01 01:48:53,PT-1414: Compressor C-114 Suction Pressure - Low
55,2024-05-01 01:49:06,PT-4646: Compressor C-146 Suction Pressure - High
56,2024-05-01 01:51:53,TT-2424: Pump P-124 Outlet Temperature - High
57,2024-05-01 01:53:51,TT-3636: Pump P-136 Inlet Temperature - Low
58,2024-05-01 01:54:22,PT-4242: Compressor C-142 Discharge Pressure - High-High
59,2024-05-01 01:57:40,PT-3030: Compressor C-130 Suction Pressure - High
60,2024-05-01 02:02:01,PT-1414: Compressor C-114 Suction Pressure - Low
61,2024-05-01 02:02:01,PT-2626: Compressor C-126 Discharge Pressure - Low
62,2024-05-01 02:02:01,PT-2222: Compressor C-122 Suction Pressure - High
63,2024-05-01 02:06:30,PT-5050: Compressor C-150 Discharge Pressure - Low-Low
64,2024-05-01 02:07:12,PT-1414: Compressor C-114 Suction Pressure - Low
65,2024-05-01 02:07:12,PT-2626: Compressor C-126 Discharge Pressure - Low
66,2024-05-01 02:07:12,PT-2222: Compressor C-122 Suction Pressure - High
67,2024-05-01 02:09:50,PT-3003: Pump P-103 Discharge Pressure - High-High
68,2024-05-01 02:11:24,TT-2020: Pump P-120 Inlet Temperature - High-High
69,2024-05-01 02:13:26,LT-4747: Vessel V-147 Liquid Level - High-High
70,2024-05-01 02:17:47,PT-3434: Compressor C-134 Discharge Pressure - Low-Low
71,2024-05-01 02:20:54,PT-1818: Compressor C-118 Discharge Pressure - High
72,2024-05-01 02:22:16,TT-8008: Pump P-108 Inlet Temperature - Low
73,2024-05-01 02:25:42,LT-3535: Vessel V-135 Liquid Level - High
74,2024-05-01 02:30:32,FT-3333: Vessel V-133 Flow Rate - High
75,2024-05-01 02:34:51,FT-4949: Vessel V-149 Flow Rate - High
76,2024-05-01 02:35:26,PT-1818: Compressor C-118 Discharge Pressure - High
77,2024-05-01 02:37:54,FT-1313: Vessel V-113 Flow Rate - High-High
78,2024-05-01 02:42:20,LT-3131: Vessel V-131 Liquid Level - High-High
79,2024-05-01 02:43:59,FT-1313: Vessel V-113 Flow Rate - High-High
80,2024-05-01 02:44:32,TT-2424: Pump P-124 Outlet Temperature - High
81,2024-05-01 02:44:57,FT-1313: Vessel V-113 Flow Rate - High-High
82,2024-05-01 02:46:20,LT-4747: Vessel V-147 Liquid Level - High-High
83,2024-05-01 02:47:20,FT-2121: Vessel V-121 Flow Rate - Low
84,2024-05-01 02:50:07,TT-3232: Pump P-132 Outlet Temperature - Low
85,2024-05-01 02:54:43,TT-8008: Pump P-108 Inlet Temperature - Low
86,2024-05-01 02:57:35,TT-2424: Pump P-124 Outlet Temperature - High
87,2024-05-01 03:00:47,LT-3131: Vessel V-131 Liquid Level - High-High
88,2024-05-01 03:04:29,TT-4444: Pump P-144 Inlet Temperature - High
89,2024-05-01 03:07:20,PT-2626: Compressor C-126 Discharge Pressure - Low
90,2024-05-01 03:07:21,FT-3333: Vessel V-133 Flow Rate - High
91,2024-05-01 03:10:32,PT-4646: Compressor C-146 Suction Pressure - High
92,2024-05-01 03:12:34,FT-4949: Vessel V-149 Flow Rate - High
93,2024-05-01 03:14:13,PT-1414: Compressor C-114 Suction Pressure - Low
94,2024-05-01 03:14:13,PT-2626: Compressor C-126 Discharge Pressure - Low
95,2024-05-01 03:14:13,PT-2222: Compressor C-122 Suction Pressure - High
96,2024-05-01 03:15:23,FT-4949: Vessel V-149 Flow Rate - High
97,2024-05-01 03:17:56,PT-1010: Compressor C-110 Discharge Pressure - Low-Low
98,2024-05-01 03:18:35,TT-8008: Pump P-108 Inlet Temperature - Low
99,2024-05-01 03:22:58,PT-3838: Compressor C-138 Suction Pressure - Low
100,2024-05-01 03:25:37,FT-2121: Vessel V-121 Flow Rate - Low
101,2024-05-01 03:25:37,LT-1919: Vessel V-119 Liquid Level - Low
102,2024-05-01 03:25:37,FT-3737: Vessel V-137 Flow Rate - High-High
103,2024-05-01 03:29:12,FT-4949: Vessel V-149 Flow Rate - High
104,2024-05-01 03:31:01,LT-1919: Vessel V-119 Liquid Level - Low
105,2024-05-01 03:32:39,LT-2727: Vessel V-127 Liquid Level - High
106,2024-05-01 03:35:39,FT-9009: Vessel V-109 Flow Rate - High
107,2024-05-01 03:39:39,PT-1010: Compressor C-110 Discharge Pressure - Low-Low
108,2024-05-01 03:43:44,LT-4747: Vessel V-147 Liquid Level - High-High
109,2024-05-01 03:48:09,TT-4040: Heat Exchanger E-140 Outlet Temperature - High
110,2024-05-01 03:51:11,LT-1515: Vessel V-115 Liquid Level - High-High
111,2024-05-01 03:56:04,LT-2002: Compressor C-102 Liquid Level - Low
112,2024-05-01 04:00:40,PT-4242: Compressor C-142 Discharge Pressure - High-High
113,2024-05-01 04:02:55,PT-3030: Compressor C-130 Suction Pressure - High
114,2024-05-01 04:03:22,LT-7007: Vessel V-107 Liquid Level - High-High
115,2024-05-01 04:03:22,FV-1001: Vessel V-101 Pressure - High
116,2024-05-01 04:03:22,LT-3939: Vessel V-139 Liquid Level - Low-Low
117,2024-05-01 04:06:22,PT-1414: Compressor C-114 Suction Pressure - Low
118,2024-05-01 04:06:22,PT-2626: Compressor C-126 Discharge Pressure - Low
119,2024-05-01 04:06:22,PT-2222: Compressor C-122 Suction Pressure - High
120,2024-05-01 04:06:28,PT-1414: Compressor C-114 Suction Pressure - Low
121,2024-05-01 04:07:59,PT-4242: Compressor C-142 Discharge Pressure - High-High
122,2024-05-01 04:12:13,TT-4004: Heat Exchanger E-104 Outlet Temperature - High
123,2024-05-01 04:15:37,PT-1818: Compressor C-118 Discharge Pressure - High
124,2024-05-01 04:20:31,FT-3737: Vessel V-137 Flow Rate - High-High
125,2024-05-01 04:23:50,PT-1414: Compressor C-114 Suction Pressure - Low
126,2024-05-01 04:23:50,PT-2626: Compressor C-126 Discharge Pressure - Low
