,timestamp,tag,type,description
0,2024-05-01 00:00:30.000000000,FIR123,L,FLW COND CW LOW ALM
1,2024-05-01 00:00:40.000000000,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
2,2024-05-01 00:01:50.000000000,FIR123,L,FLW COND CW LOW ALM
3,2024-05-01 00:02:00.000000000,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
4,2024-05-01 00:04:10.000000000,FIR123,H,FLW COND CW HIGH ALM
5,2024-05-01 00:04:50.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
6,2024-05-01 00:05:10.000000000,FIR123,L,FLW COND CW LOW ALM
7,2024-05-01 00:05:20.000000000,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
8,2024-05-01 00:06:30.000000000,FIR123,L,FLW COND CW LOW ALM
9,2024-05-01 00:06:40.000000000,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
10,2024-05-01 00:08:50.000000000,FIR123,H,FLW COND CW HIGH ALM
11,2024-05-01 00:09:00.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
12,2024-05-01 00:19:50.000000000,FIR123,L,FLW COND CW LOW ALM
13,2024-05-01 00:20:00.000000000,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
14,2024-05-01 00:22:00.000000000,FIR123,L,FLW COND CW LOW ALM
15,2024-05-01 00:22:10.000000000,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
16,2024-05-01 00:23:30.000000000,FIR123,H,FLW COND CW HIGH ALM
17,2024-05-01 00:23:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
18,2024-05-01 00:24:50.000000000,FIR123,H,FLW COND CW HIGH ALM
19,2024-05-01 00:25:00.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
20,2024-05-01 00:25:30.000000000,FIR123,H,FLW COND CW HIGH ALM
21,2024-05-01 00:25:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
22,2024-05-01 00:26:40.000000000,FIR123,L,FLW COND CW LOW ALM
23,2024-05-01 00:26:50.000000000,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
24,2024-05-01 00:27:40.000000000,FIR123,L,FLW COND CW LOW ALM
25,2024-05-01 00:27:50.000000000,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
26,2024-05-01 00:28:30.000000000,FIR123,L,FLW COND CW LOW ALM
27,2024-05-01 00:28:40.000000000,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
28,2024-05-01 00:29:50.000000000,FIR123,H,FLW COND CW HIGH ALM
29,2024-05-01 00:30:00.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
30,2024-05-01 00:34:30.000000000,FIR123,L,FLW COND CW LOW ALM
